LanguageName,ejective,non_ejective,total,have_ejectives,is.gl
Aringa,0,35,35,FALSE,TRUE
Armenian,5,25,30,TRUE,TRUE
ARMENIAN,5,25,30,TRUE,TRUE
Assamese,0,22,22,FALSE,TRUE
Atayal,0,19,19,FALSE,TRUE
ATAYAL,0,19,19,FALSE,TRUE
Attie,0,24,24,FALSE,TRUE
Au,0,10,10,FALSE,TRUE
AVAR,10,34,44,TRUE,TRUE
Avatime,0,28,28,FALSE,TRUE
Avikam,0,25,25,FALSE,TRUE
avokaya,0,37,37,FALSE,TRUE
Awa-Cuaiquer,0,16,16,FALSE,TRUE
Awadhi,0,37,37,FALSE,TRUE
Awara,0,19,19,FALSE,TRUE
Awing,0,39,39,FALSE,TRUE
Awngi,0,30,30,FALSE,TRUE
Awtuw,0,11,11,FALSE,TRUE
Ayacucho Quechua,0,14,14,FALSE,TRUE
Ayoreo,0,20,20,FALSE,TRUE
Baba,0,23,23,FALSE,TRUE
Babanki,0,26,26,FALSE,TRUE
Badaga,0,25,25,FALSE,TRUE
Bade,0,33,33,FALSE,TRUE
Bafia,0,27,27,FALSE,TRUE
bafut,0,21,21,FALSE,TRUE
Bagirmi,0,29,29,FALSE,TRUE
BAI,0,18,18,FALSE,TRUE
BAKAIRI,0,17,17,FALSE,TRUE
Bakoko,0,26,26,FALSE,TRUE
Balinese,0,18,18,FALSE,TRUE
Balti,0,35,35,FALSE,TRUE
bambara,0,20,20,FALSE,TRUE
BAMBARA,0,21,21,FALSE,TRUE
Bamunka,0,23,23,FALSE,TRUE
bana,0,37,37,FALSE,TRUE
Banda Malay,0,18,18,FALSE,TRUE
Bangolan,0,27,27,FALSE,TRUE
Bankon,0,26,26,FALSE,TRUE
Barasana-Eduria,0,11,11,FALSE,TRUE
BARDI,0,17,17,FALSE,TRUE
Bariai,0,12,12,FALSE,TRUE
Baruga,0,14,14,FALSE,TRUE
BASHKIR,0,27,27,FALSE,TRUE
Basque,0,23,23,FALSE,TRUE
BASQUE,0,23,23,FALSE,TRUE
bassa,0,22,22,FALSE,TRUE
Bassossi,0,20,20,FALSE,TRUE
Batak,0,16,16,FALSE,TRUE
BATAK,0,16,16,FALSE,TRUE
BATS,6,29,35,TRUE,TRUE
Baure,0,14,14,FALSE,TRUE
Beembe,0,19,19,FALSE,TRUE
BEEMBE,0,16,16,FALSE,TRUE
Befang,0,43,43,FALSE,TRUE
BEJA,0,21,21,FALSE,TRUE
bekwarra,0,23,23,FALSE,TRUE
Belanda Viri,0,28,28,FALSE,TRUE
BELLA COOLA,8,20,28,TRUE,TRUE
Bench,6,23,29,TRUE,TRUE
Bengali,0,70,70,FALSE,TRUE
BENGALI,0,29,29,FALSE,TRUE
Beria,0,21,21,FALSE,TRUE
berom,0,24,24,FALSE,TRUE
BERTA,3,21,24,TRUE,TRUE
Betta Kurumba,0,22,22,FALSE,TRUE
bhele,0,19,19,FALSE,TRUE
Bhili,0,35,35,FALSE,TRUE
Biak,0,28,28,FALSE,TRUE
biali,0,14,14,FALSE,TRUE
bila,0,19,19,FALSE,TRUE
Biloxi,0,12,12,FALSE,TRUE
Bilua,0,16,16,FALSE,TRUE
bimoba,0,22,22,FALSE,TRUE
Binandere,0,11,11,FALSE,TRUE
Binumarien,0,11,11,FALSE,TRUE
Bole,0,28,28,FALSE,TRUE
Bongo,0,18,18,FALSE,TRUE
Bora,0,29,29,FALSE,TRUE
Border Kuna,0,19,19,FALSE,TRUE
Boro,0,16,16,FALSE,TRUE
BoRo,0,22,22,FALSE,TRUE
BORORO,0,13,13,FALSE,TRUE
BRAHUI,0,24,24,FALSE,TRUE
BRAO,0,22,22,FALSE,TRUE
Breton,0,25,25,FALSE,TRUE
BRETON,0,25,25,FALSE,TRUE
BRIBRI,0,18,18,FALSE,TRUE
Brokskat,0,72,72,FALSE,TRUE
Bubia,0,25,25,FALSE,TRUE
Bukusu,0,20,20,FALSE,TRUE
Bulgarian,0,37,37,FALSE,TRUE
BULGARIAN,0,36,36,FALSE,TRUE
Bum,0,37,37,FALSE,TRUE
Bundeli,0,38,38,FALSE,TRUE
Buol,0,17,17,FALSE,TRUE
BURARRA,0,16,16,FALSE,TRUE
Burji,4,22,26,TRUE,TRUE
Burmese,0,34,34,FALSE,TRUE
BURMESE,0,33,33,FALSE,TRUE
Burun,0,19,19,FALSE,TRUE
Burushaski,0,38,38,FALSE,TRUE
BURUSHASKI,0,38,38,FALSE,TRUE
busa,0,16,16,FALSE,TRUE
Buwal,0,38,38,FALSE,TRUE
CADDO,4,16,20,TRUE,TRUE
Cajamarca Quechua,0,19,19,FALSE,TRUE
CAMSA,0,22,22,FALSE,TRUE
Candoshi-Shapra,0,21,21,FALSE,TRUE
Capanahua,0,16,16,FALSE,TRUE
Caquinte,0,19,19,FALSE,TRUE
Carijona,0,14,14,FALSE,TRUE
Cashibo-Cacataibo,0,15,15,FALSE,TRUE
Catalan,0,27,27,FALSE,TRUE
Cavinena,0,20,20,FALSE,TRUE
Cayubaba,0,17,17,FALSE,TRUE
Cebuano,0,18,18,FALSE,TRUE
cerma,0,21,21,FALSE,TRUE
Cha'palaa,0,23,23,FALSE,TRUE
